Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL
a-parts.com.pl,Poland,iPhone 14 Pro,aftermarket-incell,119.33,PLN,97.02,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-14-pro-inc,3,32499,40869"
a-parts.com.pl,Poland,iPhone 14 Pro,aftermarket-incell,112.96,PLN,91.84,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-14-pro,3,32499,43466"
ab-mobiteli.com,Croatia,iPhone 15 Pro,aftermarket-lcd,399,EUR,399,VAT basis UNKNOWN — shown as listed,no,https://ab-mobiteli.com/products/lcd-touch-okvir-apple-iphone-15-pro
ab-mobiteli.com,Croatia,iPhone 16 Pro Max,aftermarket-lcd,590,EUR,590,VAT basis UNKNOWN — shown as listed,no,https://ab-mobiteli.com/products/lcd-touchscreen-orig-apple-iphone-16-pro-max
ab-mobiteli.com,Croatia,iPhone XS,aftermarket-oled,120,EUR,120,VAT basis UNKNOWN — shown as listed,no,https://ab-mobiteli.com/products/lcd-touch-apple-iphone-xs-oled-nov
abraa.com,Austria,iPhone XS,aftermarket-gx,160,USD,160,already ex-VAT,YES,https://www.abraa.com/item/originalgx-oled-for-iphone-xs-lcd-display-touch-screen-digitizer-assembly-tested-no-dead-pixel-replacement-lcds-true-tone-727807
abraa.com,Austria,iPhone XS Max,aftermarket-gx,250,USD,250,already ex-VAT,YES,https://www.abraa.com/item/gx-oled-for-iphone-xs-max-lcd-display-touch-screen-digitizer-assembly-tested-no-dead-pixel-replacement-lcds-true-tone-727808
akmobilestore.com,Ireland,iPhone 13,aftermarket-soft-oled,55,EUR,55,VAT basis UNKNOWN — shown as listed,YES,https://akmobilestore.com/shop/ncc-soft-oled-iphone-13-screen/
akmobilestore.com,Ireland,iPhone 13 Pro,aftermarket-soft-oled,60,EUR,60,VAT basis UNKNOWN — shown as listed,YES,https://akmobilestore.com/shop/ncc-soft-oled-iphone-13-pro-screen/
akmobilestore.com,Ireland,iPhone 13 Pro Max,aftermarket-soft-oled,65,EUR,65,VAT basis UNKNOWN — shown as listed,YES,https://akmobilestore.com/shop/ncc-soft-oled-iphone-13-pro-max-screen/
