Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL,CheapestForModelAtShop
appleparts.nl,Netherlands,iphone 13,pulled,109.0,EUR,109.0,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-voor-iphone-15-origineel-pulled-a-grade-met-sensor-flex?_pos=3&_sid=7fc136858&_ss=r,YES
appleparts.nl,Netherlands,iphone 14 plus,pulled,199.0,EUR,199.0,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/iphone-14-plus-scherm-origineel-pulled?_pos=7&_sid=7fc136858&_ss=r,YES
appleparts.nl,Netherlands,iphone 15,pulled,175.0,EUR,175.0,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-voor-iphone-15-origineel-pulled?_pos=1&_sid=7fc136858&_ss=r,YES
appleparts.nl,Netherlands,iphone 15 pro,pulled,319.0,EUR,319.0,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-15-pro-origineel-pulled-a-grade-met-lichtsensor-flex?_pos=2&_sid=7fc136858&_ss=r,YES
appleparts.nl,Netherlands,iphone 16,pulled,198.0,EUR,198.0,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-16-origineel-pulled?_pos=4&_sid=7fc136858&_ss=r,YES
appleparts.nl,Netherlands,iphone 16,original,349.0,EUR,349.0,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-16-origineel-service-pack-661-44797?_pos=10&_sid=7fc136858&_ss=r,no
bukuwireless.com,USA,iphone 13 pro,original,288.9,USD,288.9,already ex-VAT,no,https://www.bukuwireless.com/iphone-13-pro-screen-oem-service-pack,YES
bukuwireless.com,USA,iphone 13 pro max,pulled,269.0,USD,269.0,already ex-VAT,no,https://www.bukuwireless.com/iphone-13-pro-max-screen-oem-pull-a-grade,YES
bukuwireless.com,USA,iphone 13 pro max,original,328.9,USD,328.9,already ex-VAT,no,https://www.bukuwireless.com/iphone-13-pro-max-screen-oem-service-pack,no
bukuwireless.com,USA,iphone 14 pro,pulled,259.0,USD,259.0,already ex-VAT,no,https://www.bukuwireless.com/iphone-14-pro-screen-oem-pull-a-grade,YES
bukuwireless.com,USA,iphone 14 pro max,pulled,279.0,USD,279.0,already ex-VAT,no,https://www.bukuwireless.com/iphone-14-pro-max-screen-oem-pull-a-grade,YES
bukuwireless.com,USA,iphone 14 pro max,original,348.9,USD,348.9,already ex-VAT,no,https://www.bukuwireless.com/iphone-14-pro-max-screen-oem-service-pack,no
bukuwireless.com,USA,iphone 15 pro,pulled,279.0,USD,279.0,already ex-VAT,no,https://www.bukuwireless.com/iphone-15-pro-screen-oem-pull-a-grade,YES
bukuwireless.com,USA,iphone 15 pro,original,329.9,USD,329.9,already ex-VAT,no,https://www.bukuwireless.com/iphone-15-pro-screen-oem-service-pack,no
