Site,Country,Type,Model,Category,List,Login,Price,Currency,URL
irepart.com,China,shop,iphone 13,aftermarket-incell,aftermarket,no,9.5,USD,https://irepart.com/collections/screen
mobilesentrix.eu,Germany,shop,iphone xs max,original,A,no,59.0,EUR,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
twhouse.co.uk,UK,shop,iphone 11,unknown,aftermarket,no,1.62,GBP,https://www.twhouse.co.uk/ven-dens-tempered-glass-screen-protector-with-easy-installation-tool-for-iphone-11-iphone-xr-6-1
twhouse.co.uk,UK,shop,iphone 13 pro max,unknown,aftermarket,no,0.32,GBP,https://www.twhouse.co.uk/camera-lens-glass-screen-protector-for-iphone-13-pro-max
twhouse.co.uk,UK,shop,iphone 13 pro,aftermarket-lcd,aftermarket,no,31.25,GBP,https://www.twhouse.co.uk/ven-dens-replacement-lcd-platinum-series-for-iphone-13-pro
iparts-4u.co.uk,UK,shop,iphone 14 pro,original,A,YES,239.99,GBP,https://www.iparts-4u.co.uk/genuine-iphone-14-pro-screen-assembly-original-service-pack-ll661-29370
twhouse.co.uk,UK,shop,iphone 12 mini,aftermarket-lcd,aftermarket,no,21.25,GBP,https://www.twhouse.co.uk/ven-dens-replacement-lcd-platinum-series-for-iphone-12-mini
fhrparts.com,France,shop,iphone 16,unknown,aftermarket,no,192.0,EUR,https://fhrparts.com/apple/iphone-reservdelar/iphone-16/iphone-16-screens.html
iparts-4u.co.uk,UK,shop,iphone 11,refurb,A,YES,35.99,GBP,https://www.iparts-4u.co.uk/for-iphone-11-lcd-screen-assembly-refurbished-with-back-plate
fhrparts.com,France,shop,iphone 13 pro max,unknown,aftermarket,no,309.2,EUR,https://fhrparts.com/apple/iphone-reservdelar/iphone-13-pro-max/iphone-13-pro-max-skarmar.html
iparts-4u.eu,Ireland,shop,iphone 16 pro,unknown,aftermarket,no,5.99,EUR,https://www.iparts-4u.eu/for-iphone-16-pro-display-screen-adhesive-clear-10-pack?search=iPhone%20Display%20Screen%20Adhesive&description=true
phonelcdparts.com,USA,shop,iphone 14 pro max,aftermarket-incell,aftermarket,no,36.0,USD,https://www.phonelcdparts.com/iphone-14-pro-max-lcd-assembly-incell-qv7-14pm-qv7-inc
fhrparts.com,France,shop,iphone xr,unknown,aftermarket,no,82.73,EUR,https://fhrparts.com/apple/iphone-reservdelar/iphone-xr/lcd-screens.html
bukuwireless.com,USA,shop,iphone 15 plus,aftermarket-oled,aftermarket,no,134.9,USD,https://www.bukuwireless.com/iphone-15-plus-screen-oled
bukuwireless.com,USA,shop,iphone 12 pro max,unknown,aftermarket,no,88.9,USD,https://www.bukuwireless.com/iphone-12-pro-max-screen-oem
24hshop.fr,France,shop,iphone xs,aftermarket-incell,aftermarket,no,29.5,EUR,https://24hshop.fr/lcd-iphone-xs-a2100-ecran-incell-apple-premium-super-retina-58-pouces-vitre-smartphone-affichage-true-tone-cristaux-liquides-2191.html
twhouse.co.uk,UK,shop,iphone 14,unknown,aftermarket,no,0.32,GBP,https://www.twhouse.co.uk/tempered-glass-screen-protectors/camera-lens-protector-for-iphone/camera-lens-glass-screen-protector-for-iphone-14-6-1
iparts-4u.eu,Ireland,shop,iphone 11 pro max,unknown,aftermarket,no,5.99,EUR,https://www.iparts-4u.eu/for-iphone-11-pro-max-display-screen-adhesive-purple-10-pack?search=iPhone%20Display%20Screen%20Adhesive&description=true
iparts-4u.co.uk,UK,shop,iphone xs max,aftermarket-soft-oled,aftermarket,YES,35.99,GBP,https://www.iparts-4u.co.uk/iphone-xs-max-soft-oled-screen-assembly-clearance-30-day-warranty
bukuwireless.com,USA,shop,iphone 11,aftermarket-incell,aftermarket,no,13.9,USD,https://www.bukuwireless.com/iphone-11-lcd-incell
bukuwireless.com,USA,shop,iphone 15 pro,pulled,A,no,279.0,USD,https://www.bukuwireless.com/iphone-15-pro-screen-oem-pull-a-grade
bukuwireless.com,USA,shop,iphone 12 pro max,aftermarket-incell,aftermarket,no,19.9,USD,https://www.bukuwireless.com/iphone-12-pro-max-lcd-assembly-incell
iparts-4u.eu,Ireland,shop,iphone 13 mini,unknown,aftermarket,no,5.99,EUR,https://www.iparts-4u.eu/for-iphone-13-mini-display-screen-adhesive-purple-10-pack?search=iPhone%20Display%20Screen%20Adhesive&description=true
teevo.com,China,shop,iphone 16 pro,aftermarket-incell,aftermarket,no,94.0,USD,https://www.teevo.com/products/1569487
bukuwireless.com,USA,shop,iphone 13 pro max,aftermarket-incell,aftermarket,no,43.9,USD,https://www.bukuwireless.com/iphone-13-pro-max-screen-premium-incell
phonelcdparts.com,USA,shop,iphone 12 pro max,aftermarket-incell,aftermarket,no,25.0,USD,https://www.phonelcdparts.com/iphone-12-pro-max-lcd-assembly-incell-qv7-12mx-qv7-inc
bukuwireless.com,USA,shop,iphone 14 pro,aftermarket-incell,aftermarket,no,42.9,USD,https://www.bukuwireless.com/iphone-14-pro-screen-premium-incell
bukuwireless.com,USA,shop,iphone 13,aftermarket-oled,aftermarket,no,42.9,USD,https://www.bukuwireless.com/iphone-13-screen-oled
teevo.com,China,shop,iphone 12 pro,aftermarket-incell,aftermarket,no,19.2,USD,https://www.teevo.com/products/1554254
teevo.com,China,shop,iphone 13 pro max,aftermarket-incell,aftermarket,no,27.7,USD,https://www.teevo.com/products/1569078
teevo.com,China,shop,iphone 14 pro max,aftermarket-incell,aftermarket,no,34.1,USD,https://www.teevo.com/products/1569076
twhouse.co.uk,UK,shop,iphone 11 pro max,unknown,aftermarket,no,0.15,GBP,https://www.twhouse.co.uk/tempered-glass-screen-protectors/iphone-screen-protectors/full-glue-6d-tempered-glass-for-iphone-xs-max-11-pro-max-6-5-black
iparts-4u.co.uk,UK,shop,iphone 16 plus,refurb,A,YES,155.99,GBP,https://www.iparts-4u.co.uk/for-iphone-16-plus-screen-assembly-refurbished
iparts-4u.co.uk,UK,shop,iphone 16,original,A,YES,275.95,GBP,https://www.iparts-4u.co.uk/genuine-iphone-16-screen-assembly-original-service-pack-ll661-44797
iparts-4u.co.uk,UK,shop,iphone 15,original,A,YES,275.95,GBP,https://www.iparts-4u.co.uk/genuine-iphone-15-screen-assembly-original-service-pack-ll661-36706
iparts-4u.eu,Ireland,shop,iphone 16,unknown,aftermarket,no,5.99,EUR,https://www.iparts-4u.eu/for-iphone-16-display-screen-adhesive-clear-10-pack?search=iPhone%20Display%20Screen%20Adhesive&description=true
iparts-4u.eu,Ireland,shop,iphone 16e,unknown,aftermarket,no,5.99,EUR,https://www.iparts-4u.eu/for-iphone-14-display-screen-adhesive-clear-10-pack?search=iPhone%20Display%20Screen%20Adhesive&description=true
ishine-trade.com,UK,shop,iphone 11 pro,aftermarket-incell,aftermarket,no,12.67,GBP,https://ishine-trade.com/product/jk-incell-apple-iphone-11-pro-lcd-module-display-and-touch-screen-digitizer-assembly/
fhrparts.com,France,shop,iphone 14 pro,unknown,aftermarket,no,331.0,EUR,https://fhrparts.com/apple/iphone-reservdelar/iphone-14-pro/screens.html
fhrparts.com,France,shop,iphone 13 pro,unknown,aftermarket,no,348.5,EUR,https://fhrparts.com/apple/iphone-reservdelar/iphone-13-pro/iphone-13-pro-skarmar.html
fhrparts.com,France,shop,iphone 11 pro max,unknown,aftermarket,no,104.3,EUR,https://fhrparts.com/apple/iphone-reservdelar/iphone-11-pro-max/iphone-11-pro-max-screens.html
fhrparts.com,France,shop,iphone 13 mini,unknown,aftermarket,no,12.74,EUR,https://fhrparts.com/tillbehor/screenguard/screen-guard/iphone-13-screen-guards.html
phonelcdparts.com,USA,shop,iphone 11,aftermarket-incell,aftermarket,no,14.0,USD,https://www.phonelcdparts.com/iphone-11-lcd-assembly-with-plate-incell-qv7
bukuwireless.com,USA,shop,iphone 12 pro max,aftermarket-oled,aftermarket,no,49.9,USD,https://www.bukuwireless.com/iphone-12-pro-max-screen-oled
phonelcdparts.com,USA,shop,iphone 13,aftermarket-incell,aftermarket,no,18.0,USD,https://www.phonelcdparts.com/iphone-13-lcd-assembly-incell-qv7-13-qv7-inc
phonelcdparts.com,USA,shop,iphone 15 plus,aftermarket-incell,aftermarket,no,23.0,USD,https://www.phonelcdparts.com/iphone-15-plus-lcd-assembly-incell-qv7-15pl-qv7-inc
bukuwireless.com,USA,shop,iphone x,aftermarket-oled,aftermarket,no,24.9,USD,https://www.bukuwireless.com/iphone-x-screen-oled
bukuwireless.com,USA,shop,iphone 15 pro max,aftermarket-oled,aftermarket,no,169.9,USD,https://www.bukuwireless.com/iphone-15-pro-max-screen-oled
bukuwireless.com,USA,shop,iphone 15 pro max,pulled,A,no,309.0,USD,https://www.bukuwireless.com/iphone-15-pro-max-screen-oem-pull-a-grade
teevo.com,China,shop,iphone 13,aftermarket-incell,aftermarket,no,20.6,USD,https://www.teevo.com/products/1554257
teevo.com,China,shop,iphone 12,aftermarket-hard-oled,aftermarket,no,35.35,USD,https://www.teevo.com/products/1554262
teevo.com,China,shop,iphone 15,aftermarket-soft-oled,aftermarket,no,56.7,USD,https://www.teevo.com/products/1558052
bukuwireless.com,USA,shop,iphone 15 plus,aftermarket-incell,aftermarket,no,33.9,USD,https://www.bukuwireless.com/iphone-15-plus-screen-premium-incell
bukuwireless.com,USA,shop,iphone 13 pro max,original,A,no,328.9,USD,https://www.bukuwireless.com/iphone-13-pro-max-screen-oem-service-pack
lltrader.com,China,shop,iphone 16 pro,aftermarket-lcd,aftermarket,no,54.99,USD,https://www.lltrader.com/collections/best-sell-iphone-screen-1/products/iphone-16-pro-screen-replacement-lcd-display-touch-digitizer-assembly
screen-stocks.com,USA,shop,iphone 14 pro,aftermarket-oled,aftermarket,no,20.34,EUR,https://screen-stocks.com/bulk-iphone-14-pro-oled-display-screens-factory-direct-wholesale/
m9parts.pl,Poland,shop,iphone 15 pro,unknown,aftermarket,no,7.32,PLN,https://m9parts.pl/
hlcwholesale.com,USA,shop,iphone 11 pro,aftermarket-lcd,aftermarket,YES,32.68,USD,https://www.hlcwholesale.com/repair-tools/apple-lcd-screen-parts-replacements.html
m9parts.pl,Poland,shop,iphone 11,unknown,aftermarket,no,93.5,PLN,https://m9parts.pl/
